DSI,Relation,Dis,Source,Effectiveness Rating,Source_Description
DSI005487,is_effective_for,DIS000018,MSKCC,,
DSI005487,is_effective_for,DIS000048,MSKCC,,
DSI002944,is_effective_for,DIS000048,MSKCC,,
DSI001595,is_effective_for,DIS000006,MSKCC,,
DSI001595,is_effective_for,DIS000011,MSKCC,,
DSI001595,is_effective_for,DIS000084,MSKCC,,
DSI003014,is_effective_for,DIS000032,MSKCC,,
DSI005558,is_effective_for,DIS000032,MSKCC,,
DSI000061,is_effective_for,DIS000012,MSKCC,,
DSI000061,is_effective_for,DIS000085,MSKCC,,
DSI002945,is_effective_for,DIS000083,MSKCC,,
DSI002945,is_effective_for,DIS000024,MSKCC,,
DSI002945,is_effective_for,DIS000018,MSKCC,,
DSI002597,is_effective_for,DIS000012,MSKCC,,
DSI002597,is_effective_for,DIS000018,MSKCC,,
DSI002597,is_effective_for,DIS000031,MSKCC,,
DSI000553,is_effective_for,DIS000008,MSKCC,,
DSI000553,is_effective_for,DIS000032,MSKCC,,
DSI000553,is_effective_for,DIS000004,MSKCC,,
DSI000553,is_effective_for,DIS000037,MSKCC,,
DSI000553,is_effective_for,DIS000086,MSKCC,,
DSI000257,is_effective_for,DIS000012,MSKCC,,
DSI000257,is_effective_for,DIS000006,MSKCC,,
DSI000257,is_effective_for,DIS000013,MSKCC,,
DSI002302,is_effective_for,DIS000082,MSKCC,,
DSI002302,is_effective_for,DIS000006,MSKCC,,
DSI005282,is_effective_for,DIS000006,MSKCC,,
DSI005282,is_effective_for,DIS000032,MSKCC,,
DSI007825,is_effective_for,DIS000006,MSKCC,,
DSI007825,is_effective_for,DIS000024,MSKCC,,
DSI007826,is_effective_for,DIS000031,MSKCC,,
DSI007826,is_effective_for,DIS000006,MSKCC,,
DSI007826,is_effective_for,DIS000012,MSKCC,,
DSI007826,is_effective_for,DIS000064,MSKCC,,
DSI005305,is_effective_for,DIS000087,MSKCC,,
DSI000501,is_effective_for,DIS000006,MSKCC,,
DSI002589,is_effective_for,DIS000088,MSKCC,,
DSI002589,is_effective_for,DIS000006,MSKCC,,
DSI002589,is_effective_for,DIS000089,MSKCC,,
DSI002589,is_effective_for,DIS000023,MSKCC,,
DSI002589,is_effective_for,DIS000090,MSKCC,,
DSI004429,is_effective_for,DIS000006,MSKCC,,
DSI004429,is_effective_for,DIS000089,MSKCC,,
DSI007827,is_effective_for,DIS000006,MSKCC,,
DSI007827,is_effective_for,DIS000091,MSKCC,,
DSI000075,is_effective_for,DIS000012,MSKCC,,
DSI000075,is_effective_for,DIS000092,MSKCC,,
DSI000075,is_effective_for,DIS000000,MSKCC,,
DSI000075,is_effective_for,DIS000087,MSKCC,,
DSI000075,is_effective_for,DIS000017,MSKCC,,
DSI003184,is_effective_for,DIS000025,MSKCC,,
DSI003184,is_effective_for,DIS000012,MSKCC,,
DSI005633,is_effective_for,DIS000037,MSKCC,,
DSI005633,is_effective_for,DIS000065,MSKCC,,
DSI005633,is_effective_for,DIS000023,MSKCC,,
DSI005633,is_effective_for,DIS000006,MSKCC,,
DSI005633,is_effective_for,DIS000001,MSKCC,,
DSI005633,is_effective_for,DIS000093,MSKCC,,
