DSP,Relation,DSI,Source
DSP000072,has_ingredient,DSI000163,NHP
DSP000073,has_ingredient,DSI000164,NHP
DSP000074,has_ingredient,DSI000019,NHP
DSP000075,has_ingredient,DSI000165,NHP
DSP000076,has_ingredient,DSI000019,NHP
DSP000077,has_ingredient,DSI000166,NHP
DSP000078,has_ingredient,DSI000167,NHP
DSP000079,has_ingredient,DSI000168,NHP
DSP000080,has_ingredient,DSI000169,NHP
DSP000081,has_ingredient,DSI000170,NHP
DSP000082,has_ingredient,DSI000022,NHP
DSP000083,has_ingredient,DSI000171,NHP
DSP000083,has_ingredient,DSI000016,NHP
DSP000083,has_ingredient,DSI000172,NHP
DSP000083,has_ingredient,DSI000012,NHP
DSP000083,has_ingredient,DSI000071,NHP
DSP000083,has_ingredient,DSI000061,NHP
DSP000083,has_ingredient,DSI000173,NHP
DSP000083,has_ingredient,DSI000174,NHP
DSP000083,has_ingredient,DSI000014,NHP
DSP000083,has_ingredient,DSI000175,NHP
DSP000083,has_ingredient,DSI000176,NHP
DSP000083,has_ingredient,DSI000161,NHP
DSP000083,has_ingredient,DSI000177,NHP
DSP000083,has_ingredient,DSI000178,NHP
DSP000083,has_ingredient,DSI000179,NHP
DSP000083,has_ingredient,DSI000180,NHP
DSP000083,has_ingredient,DSI000162,NHP
DSP000083,has_ingredient,DSI000018,NHP
DSP000083,has_ingredient,DSI000002,NHP
DSP000083,has_ingredient,DSI000181,NHP
DSP000083,has_ingredient,DSI000019,NHP
DSP000083,has_ingredient,DSI000182,NHP
DSP000083,has_ingredient,DSI000183,NHP
DSP000083,has_ingredient,DSI000011,NHP
DSP000083,has_ingredient,DSI000020,NHP
DSP000083,has_ingredient,DSI000021,NHP
DSP000083,has_ingredient,DSI000041,NHP
DSP000083,has_ingredient,DSI000022,NHP
DSP000083,has_ingredient,DSI000184,NHP
DSP000083,has_ingredient,DSI000006,NHP
DSP000084,has_ingredient,DSI000185,NHP
DSP000085,has_ingredient,DSI000118,NHP
DSP000086,has_ingredient,DSI000080,NHP
DSP000087,has_ingredient,DSI000186,NHP
DSP000088,has_ingredient,DSI000013,NHP
DSP000088,has_ingredient,DSI000012,NHP
DSP000088,has_ingredient,DSI000174,NHP
DSP000088,has_ingredient,DSI000014,NHP
DSP000088,has_ingredient,DSI000175,NHP
DSP000088,has_ingredient,DSI000187,NHP
DSP000088,has_ingredient,DSI000015,NHP
DSP000088,has_ingredient,DSI000011,NHP
DSP000088,has_ingredient,DSI000020,NHP
DSP000088,has_ingredient,DSI000021,NHP
DSP000088,has_ingredient,DSI000022,NHP
DSP000088,has_ingredient,DSI000184,NHP
DSP000088,has_ingredient,DSI000006,NHP
DSP000089,has_ingredient,DSI000036,NHP
DSP000090,has_ingredient,DSI000188,NHP
DSP000091,has_ingredient,DSI000012,NHP
DSP000091,has_ingredient,DSI000174,NHP
DSP000091,has_ingredient,DSI000014,NHP
DSP000091,has_ingredient,DSI000187,NHP
DSP000091,has_ingredient,DSI000011,NHP
DSP000091,has_ingredient,DSI000020,NHP
DSP000091,has_ingredient,DSI000021,NHP
DSP000091,has_ingredient,DSI000022,NHP
DSP000091,has_ingredient,DSI000184,NHP
DSP000091,has_ingredient,DSI000006,NHP
DSP000092,has_ingredient,DSI000189,NHP
